t,x,y,x_ref,y_ref,target_x,target_y,vx_ref,vy_ref,support,left_foot_x,left_foot_y,left_foot_z,left_knee_x,left_knee_y,left_knee_z,right_foot_x,right_foot_y,right_foot_z,right_knee_x,right_knee_y,right_knee_z,apple_x,apple_y,apple_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,apple_caught,wbc_control,arm_error_x,arm_error_y,arm_error_z,arm_force_x,arm_force_y,arm_force_z
0.35000000000000003,0.016557071647211263,0.00100777059991455,0.04096632685791556,0.0024579796114749326,2.5,0.15,0.21561224662060818,0.012936734797236485,right_stance,0.05992311432007401,-0.17704341166385934,0.11047650521168455,-0.07011620659225372,-0.15944956180704853,0.39725377644803994,0.14547413945082244,0.1486356716462276,0.07980527050978814,0.058415670977743486,0.1329000749507977,0.3846498120688083,2.35,-0.18,2.15,0.06678368889570886,-0.22907593051894243,0.7152077292317974,-0.14564528925632525,0.23290952785481475,0.6454784216458481,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.36,0.0178291444860739,0.0010839343494263613,0.04321228776021356,0.0025927372656128125,2.5,0.15,0.22160147569340286,0.013296088541604165,right_stance,0.055748739395778686,-0.17769422796610213,0.11029763295608389,-0.07182002003472339,-0.15953429557695323,0.39816116330455587,0.1526159852493484,0.1490653602801521,0.0810972385484217,0.06282266765113534,0.13316433413038126,0.3851340464730689,2.35,-0.18,2.15,0.06740139376450711,-0.22905186381144108,0.7151363398139533,-0.14370973490532976,0.23308878327636318,0.6453174624579413,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.37,0.019147131939000434,0.001162815141284211,0.04551814095323951,0.002731088457194369,2.5,0.15,0.22759070476619753,0.013655442285971845,right_stance,0.05143104383958989,-0.1782729870895317,0.10996848234614977,-0.07333720277376983,-0.15954434155757227,0.3990441931548766,0.15986033401007746,0.14950147654479262,0.08245771805990652,0.06732200006772329,0.1334340956200588,0.3856565766416546,2.35,-0.18,2.15,0.06787773212529818,-0.2290396120733955,0.7150463037768088,-0.14153824160706757,0.23329981707147515,0.6451114984713859,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.38,0.020511106424479546,0.0012444179446599573,0.0478838864369934,0.0028730331862196028,2.5,0.15,0.2335799338389922,0.014014796030339526,right_stance,0.046962856039702724,-0.1787717311771181,0.10949119686495142,-0.07466591591711334,-0.15947853138187235,0.39989810208056564,0.16720665466409249,0.14994398399955555,0.08388864878141512,0.07191320554575271,0.13370933228298756,0.38621883096312537,2.35,-0.18,2.15,0.06821464712482948,-0.22903874028092633,0.7149391521213925,-0.13913252995503994,0.23354201010196157,0.6448617784207894,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.39,0.02192113767649943,0.0013287476892707008,0.05030952421147524,0.0030185714526885133,2.5,0.15,0.23956916291178687,0.014374149774707206,right_stance,0.04233692360224083,-0.1791824916133033,0.1088700000541518,-0.07580479093654374,-0.15933593749238306,0.40071845848079746,0.1746544358288135,0.1503928464931821,0.08539201804605574,0.07659578646672617,0.13399001500773552,0.38682225377692775,2.35,-0.18,2.15,0.06841450037459314,-0.22904872367633425,0.714816727433763,-0.13649472559398096,0.23381461133403614,0.6445698116339741,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.4,0.023377293150367823,0.0014158092861597034,0.05279505427668503,0.0031677032566011006,2.5,0.15,0.24555839198458154,0.014733503519074886,right_stance,0.037546022514299074,-0.17949740461433525,0.10811128869927214,-0.07675292388791725,-0.1591158861638708,0.40150119994499844,0.18220318283198375,0.15084802801135505,0.086969862843462,0.08136920963853977,0.13427611266650122,0.38746830470182275,2.35,-0.18,2.15,0.06848007237316318,-0.2290689518521493,0.7146811645849422,-0.13362735819099428,0.23411674288621073,0.6442373560944195,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.41000000000000003,0.024879638460072444,0.0015056076498029015,0.055340476632622766,0.0033204285979573644,2.5,0.15,0.2515476210573762,0.015092857263442566,right_stance,0.0325830781147405,-0.17970883210927244,0.10722370757660424,-0.07750986988157132,-0.15881796939329057,0.4022426662536044,0.1898524145043599,0.1513094925145842,0.08862427176417899,0.08623290568515662,0.13456759207435917,0.38815845792825887,2.35,-0.18,2.15,0.06841456263456455,-0.2290987335177523,0.7145348682885811,-0.1305333600698387,0.23444740592285104,0.643866404539535,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.42,0.026428237846634874,0.001598147721536948,0.05794579127928845,0.003476747476757305,2.5,0.15,0.2575368501301709,0.015452211007810246,right_stance,0.027441297045847905,-0.17980948730491245,0.10621820326173088,-0.07807563805644457,-0.1584420555460096,0.4029396282083424,0.19760165974511712,0.15177720376640078,0.09035738681631392,0.09118626846328601,0.13486441794958723,0.3888942014736733,2.35,-0.18,2.15,0.06822158937047071,-0.2291373019135852,0.7143804877154891,-0.12721606441969996,0.234805487353824,0.6434591687072665,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.43,0.028023154676842688,0.0016934344943043363,0.06061099821668208,0.0036366598930009228,2.5,0.15,0.26352607920296556,0.015811564752177928,right_stance,0.022114309052460316,-0.1797925640511629,0.10510805448093992,-0.07845068726639523,-0.15798829865367586,0.4035893120328924,0.20545045386447977,0.1522511251518931,0.09217140510331205,0.0962286545065199,0.13516655287513618,0.38967703639970913,2.35,-0.18,2.15,0.06790518856090748,-0.22918382083263109,0.7142208883928186,-0.12367920298133034,0.23518976729453567,0.6430180618594687,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.44,0.02966445197167912,0.001791473038710775,0.06333609744480366,0.0038001658466882172,2.5,0.15,0.2695153082757602,0.01617091849654561,right_stance,0.01659631716810458,-0.1796518687727439,0.10390887652497369,-0.07863592263800653,-0.15745714626590232,0.4041894191281717,0.2133983347085708,0.15273121948661939,0.09406858035209503,0.10135938249736372,0.1354739572613031,0.39050847599034827,2.35,-0.18,2.15,0.06746981223912497,-0.2292373912035855,0.7140591216432453,-0.1199269031070751,0.2355989272345791,0.6425456797257301,False,impedance-mpc,nan,nan,nan,nan,nan,nan
